"from","from_id","id","message","picture","link","name","description","type","created_time","shares","likes","loves","wows","hahas","sads","angrys"
"Foody.vn","_210695369058001","210695369058001_1663784927082364","['Back to basic' với TRÀ ĐÀO CAM SẢ thanh mát ngày vào hè - Giảm 50%]

👉Đặt món ship tận nơi: https://goo.gl/7NX7Dr
(❗Nhập mã MII50 để được 50%❗)

Đơn giản là cái vị thanh thanh của trà quyện cùng hương xả thơm thơm, lại thêm phần ngọt ngào của đào cộng với việc vừa uống vừa nhâm nhi những miếng đào giòn giòn là siêu thú vị luôn nha.

✅Free Ship (tối đa 30k) khi dùng AirPay thanh toán cho hơn 5000 quán Verified Merchants","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/30850842_1663786113748912_6687227018599202816_n.jpg?_nc_cat=0&oh=729e27bf9d7255932079a97775a3b26f&oe=5B8CCBC4","https://www.facebook.com/FoodyVietnam/videos/1663784927082364/","'Back to basic' với TRÀ ĐÀO CAM SẢ thanh mát ngày vào hè - Giảm 50%","","video","2018-05-22T08:45:00+0000","16","144","98","19","7","2","1"
"Foody.vn","_210695369058001","210695369058001_1663912950402895","[No bụng với “BÁNH MÌ CHẢ CÁ - XÍU MẠI” size khủng, giá mềm]

Ship tận nơi: https://goo.gl/74yA9d
Địa chỉ: https://goo.gl/JTUpBz

Chả cá với cục xíu mại toàn size “bé bự” không à, mà quán còn bỏ nhiều nữa chứ, so với giá 15k-20k/ ổ thì quá ok ha. Đặt ổ lọt dạ giờ xế nà.","https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/29768315_1663913377069519_8338018924545179648_n.jpg?_nc_cat=0&oh=84787f5338ae569dd43bea9c0d0946b0&oe=5B83769F","https://www.facebook.com/FoodyVietnam/videos/1663912507069606/","Photos from Foody.vn's post","","video","2018-05-22T08:30:55+0000","339","3429","39","8","1","0","0"
"Foody.vn","_210695369058001","210695369058001_1662942573833266","[Rẻ chưa từng thấy 'MÌ GÀ TIỀM NGŨ VỊ' giảm chỉ còn 26k/phần]

Chi tiết: https://goo.gl/F6Wdpv

Quán có cơm đùi gà, ức gà, gà rô ti, mì gà tiềm ngũ vị, chất lượng khủng mà rẻ cực kì nha, tầm 28-35k/phần. Khi đặt qua Now.vn từ 22-25/5 còn được giảm thêm 25% nữa chứ, ăn no nê với giá rẻ bèo luôn.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/30833547_1662968283830695_1937075274638163968_n.jpg?_nc_cat=0&oh=8b679a8d28713c8282f5126f3e7bc567&oe=5B8F7E4F","https://www.facebook.com/FoodyVietnam/videos/1662942573833266/","Mì gà tiềm ngũ vị 26k","","video","2018-05-22T08:00:00+0000","46","686","210","55","14","2","0"
"Foody.vn","_210695369058001","210695369058001_1662879803839543","[Hội bánh bèo mê tít “TRÀ DECAF KHÔNG SAY“ độc nhất vô nhị]

Ship tận nơi: https://goo.gl/Zwbtxe

Team thèm trà mà uống vô là bị say coi liền nè. Lần đầu tiên Tenren xuất hiện trà decaf không say, được tách 1 phần cafein ủa với phúc bồn tử kết hợp với hoa phù dung, trần bì. Ngon hơn khi uống kèm với trân châu nha, món này pha bằng mật ong không dùng đường nên mấy bạn sợ mập sẽ thích lắm nè.","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/33125674_1662852713842252_8683789806490091520_n.jpg?_nc_cat=0&oh=7e5ec71f199dec18bad9ba9b6f31dbd3&oe=5BBA2FD8","https://www.facebook.com/FoodyVietnam/photos/a.215488901911981.46885.210695369058001/1662852703842253/?type=3","Photos from Foody.vn's post","","photo","2018-05-22T07:00:01+0000","6","121","69","25","9","1","0"
"Foody.vn","_210695369058001","210695369058001_1663774230416767","[Kích hoạt chế độ thèm liền 'TRÀ SỮA TRÂN CHÂU ĐƯỜNG ĐEN' chỉ 30k - Giảm thêm 25%]

👉Đặt món ship tận nơi: https://goo.gl/shLWbM
(❗Nhập mã GIGO25 để được giảm 25%❗)

Hội nhập không khí 'hot trend' của trà sữa trân châu đường đen với mức giá siêu vừa túi, chỉ 30k đã đủ làm thỏa lòng dân ghiền rồi. Sữa tươi beo béo hòa cùng trân châu ngọt ngào, trước khi uống khuấy lên vài vòng cho đều uống siêu đã nhé.
----------
✅Free Ship (tối đa 30k) khi dùng AirPay thanh toán cho hơn 5000 quán Verified Merchants","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/29786203_1663775013750022_7993777901361168384_n.jpg?_nc_cat=0&oh=79d4f3d9b962d4cf4f34fd0daf8055c5&oe=5B817F81","https://www.facebook.com/FoodyVietnam/videos/1663774230416767/","Kích hoạt chế độ thèm liền 'TRÀ SỮA TRÂN CHÂU ĐƯỜNG ĐEN' chỉ 30k - Giảm thêm 25%","","video","2018-05-22T06:00:00+0000","25","205","39","6","3","0","1"
"Foody.vn","_210695369058001","210695369058001_1663840603743463","[Cầm 300k ăn chơi tẹt ga ở 'RESORT NGAY VŨNG TÀU']

Chi tiết: https://goo.gl/J1xCt8

Đi Vũng Tàu nữa hông các mẹ, mà lần này đi resort xịn hẳn hoi nha, chỉ cần tốn 300k thuiiii, tối ra bãi biển đốt lửa ăn hải sản quá đã luôn kìa.","https://scontent.xx.fbcdn.net/v/t1.0-0/q85/s130x130/33116207_1663837477077109_8638419524321804288_n.jpg?_nc_cat=0&oh=a1aaeae1ce2e7a482130936716981930&oe=5B8D16E4","https://www.facebook.com/FoodyVietnam/photos/a.426594680801401.1073741873.210695369058001/1663837470410443/?type=3","Photos from Foody.vn's post","","photo","2018-05-22T05:42:24+0000","357","1299","12","1","0","0","0"
"Foody.vn","_210695369058001","210695369058001_1658617104265813","[Ăn bao đã 'BUFFFET NƯỚNG - LẨU XỊN ĐÉT' chỉ 199k/người]

Địa chỉ: https://goo.gl/pdqrjC

Nhà hàng có cả alacarte và buffet luôn nha. Hơn 40 món thịt bò, heo, gà và hải sản, gia vị ướp ngon, được chế biến từ các nguyên liệu tự nhiên. Giá chỉ 199k/người ăn no nê tẹt ga luôn, alacarte nếu đặt bàn trước sẽ được giảm 5% nghen.","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/32777627_1658593700934820_3575815794409340928_n.jpg?_nc_cat=0&oh=5eb96b5e18f116745c1d896dbf9374e8&oe=5B870A8C","https://www.facebook.com/FoodyVietnam/photos/a.215488901911981.46885.210695369058001/1658593694268154/?type=3","Photos from Foody.vn's post","","photo","2018-05-22T05:00:00+0000","17","318","45","21","2","1","1"
"Foody.vn","_210695369058001","210695369058001_1663802490413941","[Ngon vượt thời gian 'BÁNH KHOAI MÔN HÀNH PHI' max ngon]

- Ship tận nơi: https://goo.gl/ZQHfKS
(Đặt món tại APP NOW, nhập mã BANHBOT20
 giảm 20%)

Quán nghe đồn bán ở đây hơn 50 năm rồi, siêu đông khách luôn. Dĩa bánh bột, bánh khoai môn quá trời thịt bằm, hành phi, rau chan tí nước mắm ớt, vậy hoy mà ngon lắm. Chỉ 15-20k/dĩa nà.","https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/30842517_1663802897080567_5738711417154961408_n.jpg?_nc_cat=0&oh=5a47b2ffb75410463914f00bcb980bb0&oe=5B8A4C4A","https://www.facebook.com/FoodyVietnam/videos/1663795563747967/","Photos from Foody.vn's post","","video","2018-05-22T04:37:17+0000","168","1378","20","1","1","0","0"
"Foody.vn","_210695369058001","210695369058001_1662950467165810","[Càng quét tại gia với '1001 MÓN HẢI SẢN BIỂN' giá yêu thương - Giảm 30% ship tận nơi]

👉Đặt món ship tận nơi: https://goo.gl/MT1dC6
(💢Nhập mã HUONGBIEN để được giảm ngay 30%💢)

Tin vui cho 'team yêu hải sản' sẽ không cần xê dịch, ngồi tại nhà sẽ được ship tới nơi. Đủ các thể loại tôm hùm, mực, hàu, cá, ốc,... tươi ngon được chế biến nóng hổi, giá đã yêu thương sẵn giờ còn được giảm thêm 30% khi nhập mã HUONGBIEN khi order qua Now/Foody nhé!
------------
✅Free Ship (tối đa 30k) khi dùng AirPay thanh toán cho hơn 5000 quán Verified Merchants","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/31016915_1662951903832333_4213594600796848128_n.jpg?_nc_cat=0&oh=d6a3ccc85e191ec713b5da4edff943d7&oe=5BBDDFDE","https://www.facebook.com/FoodyVietnam/videos/1662950467165810/","Càng quét tại gia với '1001 MÓN HẢI SẢN BIỂN' giá yêu thương - Giảm 30% ship tận nơi","","video","2018-05-22T04:00:00+0000","8","116","29","2","1","0","0"
"Foody.vn","_210695369058001","210695369058001_1662675177193339","[Ngon như ăn ở Huế 'BÚN BÒ ĐẶC BIỆT' thịt, giò, chả đầy tô]

Địa chỉ: https://goo.gl/YGMbFe
Ship tận nơi: https://goo.gl/rCAkog

Quán bún bò mà decor đẹp như quán cafe luôn, thịt bò, giò, chả cua nhà làm cực kì ngon và chất lượng. 1 tô tầm 35-45k ăn bao no, nước bún bò thơm đậm đà, ghiền bún bò Huế là phải tới liền nha.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/29783900_1662779883849535_1555685107921059840_n.jpg?_nc_cat=0&oh=1dbad5c28627b9ffb1d863a71683cd90&oe=5B7A0695","https://www.facebook.com/FoodyVietnam/videos/1662675177193339/","Bún bò Huế","","video","2018-05-22T03:00:00+0000","92","1955","52","6","2","0","0"
"Foody.vn","_210695369058001","210695369058001_1663245280469662","[Uống thả ga MÓN NGON MÁT LẠNH GIẢM 40% không giới hạn]

Link đặt món: https://goo.gl/Puqn9Z
(Đặt món tại APP NOW, nhập mã COLD40 giảm 40%)

Uống thả ga MÓN NGON MÁT LẠNH GIẢM 40% khi nhập code COLD40 duy nhất trong ngày 22/05/2018. Toàn những món ngon không thôi nha, nào là trà sữa đầy ụ topping, cà phê thơm phức, chè ngọt...nhanh tay đặt món với hội chị em.
---------------------
*Free Ship (tối đa 20k) khi dùng AirPay thanh toán cho hơn 5000 quán Verified Merchants","https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/29771215_1663249230469267_4232252329572696064_n.jpg?_nc_cat=0&oh=cb961ab8b5e6d016a20c9100ea90d88d&oe=5B8AAA22","https://www.facebook.com/FoodyVietnam/videos/1663245280469662/","Uống thả ga MÓN NGON MÁT LẠNH GIẢM 40% không giới hạn","","video","2018-05-22T02:30:00+0000","27","453","41","10","1","1","0"
"Foody.vn","_210695369058001","210695369058001_1657732934354230","[Đậm đà 'GÀ NƯỚNG NGUYÊN CON' ăn tới đâu ghiền tới đó]

Địa chỉ: https://goo.gl/EgntDv

Chi nhánh 2 của gà nướng Biên Hòa đã có mặt ở SG rồi nè. Gà ở đây được ướp đậm đà thấm gia vị, nướng vàng ươm thơm phức luôn. Nhân dịp mới khai trương quán giảm giá 20% từ 22-29/5, tính ra chỉ còn 128-144k nguyên con gà nướng chất lượng nha.","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/32399374_1657720651022125_1319534534538035200_n.jpg?_nc_cat=0&oh=b5319198e17c98c14c0527024b40608c&oe=5B8D8A8C","https://www.facebook.com/FoodyVietnam/photos/a.215488901911981.46885.210695369058001/1657720647688792/?type=3","Photos from Foody.vn's post","","photo","2018-05-22T02:00:01+0000","49","364","68","13","2","3","0"
"Foody.vn","_210695369058001","210695369058001_1662988757161981","[Thưởng thức TRẠM CƠM TRƯA ngon tuyệt đỉnh đã có mặt tại Phú Nhuận- Giảm mạnh 35%]

Đặt món: https://goo.gl/Y1KP5y
Team Phú Nhuận từ nay có thể dẹp bỏ mọi băn khoăn lo nghĩ về trưa nay ăn gì ra khỏi đầu vì đã có menu dài sọc toàn món vừa ngon vừa rẻ, shipper giao tận tay quá ngất ngây luôn. Cơm, bún, mì, trà tươi...tha hồ rủ rê cả văn phòng quây quần ăn uống nha.
-------------- 
* Nhập mã BUIVANTHEM35 giảm 35% khi order qua Now.vn. 
* Áp dụng cho đơn hàng trên 100k, giảm tối đa 150k. 
* Tặng ngay 1 chai Fuze Tea đào hạt chia cho mọi đơn hàng từ 100k.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/29785334_648325625559561_2490018242022604800_n.jpg?_nc_cat=0&oh=f984cb4cdf3d0dd85fd796abf51cbb0e&oe=5B82E2F7","https://www.facebook.com/FoodyVietnam/videos/1662988757161981/","Thưởng thức TRẠM CƠM TRƯA ngon tuyệt đỉnh đã có mặt tại Phú Nhuận- Giảm mạnh 35%","","video","2018-05-22T01:30:00+0000","12","304","14","0","0","0","0"
"Foody.vn","_210695369058001","210695369058001_1662898923837631","[Rụng tym 'HOMETAY NHÀ GỖ ĐẸP NHƯ PHIM HÀN' chỉ từ 95k/người]

Chi tiết: https://goo.gl/WSru6B

Sống ảo giống phim Hàn thiệt nà mấy bồ anh, cứ sáng dậy là được nhìn ngắm cây cỏ thiên nhiên lãng mạn hữu tình đồ, giá chỉ từ 95k/người, đi càng đông càng rẻ nà.","https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/28775487_1662899607170896_1720896286296637440_n.jpg?_nc_cat=0&oh=db4d3a702fc473fcc790e35504223d57&oe=5BBBF082","https://www.facebook.com/FoodyVietnam/videos/1662898670504323/","Photos from Foody.vn's post","","video","2018-05-22T01:00:34+0000","644","2204","42","6","2","1","0"
"Foody.vn","_210695369058001","210695369058001_1662795143848009","[Ùn ùn kéo nhau SĂN ĐỒ HIỆU CAO CẤP GIẢM TỚI TẤP ở trung tâm thương mại Q.5]

Cơ hội cho chị em mua đồ mỹ phẩm cao cấp sale mạnh như O HUI, Estée Lauder, Clarins, Sisley Paris, Kanebo, Kosé,..v.v.. Và hàng ngàn thương hiệu quần áo hàng hiệu giảm tới bến cùng cơ hội nhận gift card trị giá 300.000đ nữa. Hội chị em set kèo đi ngay từ giờ luôn nhé.","https://scontent.xx.fbcdn.net/v/t45.1600-4/c59.0.130.130/p130x130/32969098_23842835346830235_800747097006538752_n.png?_nc_cat=0&oh=bba74a636e343cd0fd9289d4917eafaf&oe=5BC051C4","https://www.sheis.vn/bai-viet/hang-tram-thuong-hieu-cao-cap-trong-cuoc-dua-giam-gia-tai-trung-tam-mua-sam-cua-vstyle-2885","Hàng Trăm Thương Hiệu Cao Cấp Trong Cuộc Đua Giảm Giá Tại Trung Tâm Mua Sắm Của VSTYLE!","Thât bất ngờ và thú vị với cuộc chạy đua giảm giá của hàng trăm thương hiệu thời trang cao cấp tại trung tâm mua sắm","link","2018-05-22T00:30:00+0000","201","2471","10","1","1","0","1"
"Foody.vn","_210695369058001","210695369058001_1662905070503683","[Nhớ PREORDER20 - Đặt ngay giờ Vàng giảm 20% có liền món ngon]

Link đặt món: https://www.now.vn/
(Đặt món tại APP NOW, nhập mã PREORDER20 giảm 20%)

Giảm 20% hơn 5,000 quán khi đặt món từ 6h - 10h và 15h - 18h ngày 22/5 nhập mã PREORDER20, áp dụng các quán Verified cho hóa đơn từ 100k trở lên.
*Giảm tối đa 100k.
-------------------
*Free Ship (tối đa 20k) khi dùng AirPay thanh toán cho hơn 5000 quán Verified Merchants","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/33041332_1662904410503749_316441147280982016_n.jpg?_nc_cat=0&oh=3a637f15d6c77504226138d6f9f14b65&oe=5B8D158A","https://www.facebook.com/FoodyVietnam/photos/a.215488901911981.46885.210695369058001/1662904407170416/?type=3","Photos from Foody.vn's post","","photo","2018-05-22T00:00:01+0000","7","111","13","0","0","0","0"
